0,1,2,3,4,5,6,7,8,9,10,11,12,13
,Tarifa Ofertas Semana 09,,Válida del 01 de Marzo al 06 de Marzo del 2021,,,,,I.V.A. no Incluido,0.1,0.15,0.2,,
Código,Sección,Producto,€/Kg. o €/Unidad,+ 5 kgs. o piezas (aplicado 10% dto.),+ 10 kgs. o piezas (aplicado 15% dto.),+ 25 kgs. o piezas (aplicado 20% dto.),Tipo I.V.A. aplicable,Origen,Origen,Origen,Origen,Su Pedido,
,,¡¡¡Productos Recomendados!!!,,,,,,,,,,,
1119,,Higo de miel semi-seco de la Alpujarra BIO (grande) ¡¡¡Excelente y especial!!! F.E. (fruta de la estación),6.19,5.571000000000001,5.261500000000001,-,0.04,Granada,,,,,
6116,,Higo de miel semi-seco de la Alpujarra BIO (pequeño) ¡¡¡Excelente y especial!!! F.E. (fruta de la estación),4.94,4.446000000000001,-,-,0.04,Granada,,,,,
3873,,Higo granillo seco-blando (nueva cosecha 2020),4.44,3.9960000000000004,3.7740000000000005,-,0.04,Ávila,,,,,
1548,,Higo seco turco BIO,8.59,7.731,-,-,0.04,Turquía,,,,,
3790,,Higo semi-seco prensado en serete de hoja natural de palma (env. de 900 grs.+/-),8.69,7.821,Precio por serete de 900 grs. +/-,,0.1,Málaga,,,,,
5236,,Granada,3.69,3.3209999999999997,-,-,0.04,Importación,,,,,
1020,,Kiwi BIO,3.69,3.3209999999999997,-,-,0.04,Nacional,,,,,
3276,Frutas,"Kiwi Hayward local montañas del Pais Vasco mediano/grande de Leire. Cultivo natural, regado con agua de manantial ¡¡¡Excelente sabor y calidad!!!",3.29,2.961,2.7965,-,0.04,Pais Vasco,,,,,
1254,,Kumquat BIO,3.59,3.231,3.0515,-,0.04,Granada,,,,,
3011,,Kumquat local (con todo el color),2.89,2.601,2.4565,-,0.04,Málaga,,,,,
3307,,Limquat local nueva cosecha (una explosión de jugo),1.69,1.521,1.4364999999999999,1.3519999999999999,0.04,Granada,,,,,
6154,,Limquat BIO,3.19,2.871,2.7115,-,0.04,Granada,,,,,
1023,Frutas,"Limón BIO color amarillo, calibre mediano/grande, madurado en el árbol y recolectado según pedido, muy jugoso. F.E. (fruta de la estación) ¡¡¡Excelente calidad!!!",1.39,1.251,1.1815,1.1119999999999999,0.04,Granada,,,,,
1023,,"Limón BIO color amarillo, calibre mediano/grande, madurado en el árbol y recolectado según pedido, muy jugoso. F.E. (fruta de la estación) ¡¡¡Excelente calidad!!! ¡¡¡Súper oferta!!!",0.69,Precio para un pedido mínimo de 200 kgs.,,,0.04,Granada,,,,,
1489,,Limón BIO variedad antigua (piezas grandes),1.89,1.7009999999999998,1.6065,-,0.04,Málaga,,,,,
3421,,"Limón local fino, arómatico y jugoso, finca orgánica no certificada",1.49,1.341,1.2665,1.192,0.04,Granada,,,,,
1266,,Mandarina aromática/castellana BIO con semilla variedad antigua muy jugosa. Sólo 35 kg en stock,1.89,1.7009999999999998,1.6065,-,0.04,Granada,,,,,
3278,,Mandarina aromática/castellana local con semilla variedad antigua muy jugosa ¡¡¡Oferta recomendada!!!,1.39,1.251,1.1815,-,0.04,Málaga,,,,,
1263,,Mandarina Clemenules BIO (sólo 8 kgs. en stock),1.49,-,-,-,0.04,Granada,,,,,
3029,,Mandarina Fortuna local,1.69,1.521,1.4364999999999999,-,0.04,Granada,,,,,
6161,,Mandarina Murcott BIO (peso aprox. 60 grs. por unidad),1.79,1.611,1.5215,1.432,0.04,Málaga,,,,,
1342,,Mandarina Nadorcott BIO (sólo 25 kg en stock),2.79,2.511,2.3715,-,0.04,Málaga,,,,,
5089,,Mandarina Ortanique local,1.79,1.611,1.5215,1.432,0.04,Málaga,,,,,
6165,,Mandarina Queen BIO,2.39,2.1510000000000002,2.0315000000000003,-,0.04,Málaga,,,,,
5215,,Mango deshidratado a baja temperatura Irwin gourmet (crudo y en láminas),38.98,-,-,-,0.04,Granada,,,,,
5162,,Mango deshidratado semi-seco artesanal Keitt (env. 500 grs.) RAW,9.89,Precio por tarrina (biodegradable) de 500 grs.,,,0.04,Granada,,,,,
5162,Frutas,Mango deshidratado semi-seco artesanal Keitt (env. 3 kgs.) RAW,15.98,Precio por kilo en bolsa (biodegradable) de 3 kgs.,,,0.04,Granada,,,,,
5176,,Mango deshidratado semi-seco artesanal Kensington (env. 500 grs.) RAW,9.98,Precio por tarrina (biodegradable) de 500 grs.,,,0.04,Granada,,,,,
5163,,Mango deshidratado a baja temperatura semi-seco artesanal Kent (env. 500 grs.) RAW,10.89,Precio por tarrina (biodegradable) de 500 grs.,,,0.04,Granada,,,,,
5170,,Mango deshidratado semi-seco artesanal Lipens (env. 500 grs.) RAW,9.89,Precio por tarrina (biodegradable) de 500 grs.,,,0.04,Granada,,,,,
5165,,Mango deshidratado semi-seco artesanal Osteen (env. 500 grs.) RAW,9.89,Precio por tarrina (biodegradable) de 500 grs.,,,0.04,Granada,,,,,
5165,,Mango deshidratado semi-seco artesanal Osteen (env. 3 kgs.) RAW,15.98,Precio por kilo en bolsa (biodegradable) de 3 kgs.,,,0.04,Granada,,,,,
1039,,Manzana Fuji BIO (con pequeños defectos en la piel) ¡¡¡Calidad excelente!!! (Familia Joan),1.69,1.521,1.4364999999999999,1.3519999999999999,0.04,Lérida,,,,,
6143,,Manzana Fuji mediana BIO ¡¡¡Calidad excelente!!! (Familia Joan),1.94,1.746,1.649,1.552,0.04,Lérida,,,,,
3478,,Manzana Fuji local,2.09,1.8809999999999998,-,-,0.04,Nacional,,,,,
1594,,Manzana Golden BIO,2.49,2.241,-,-,0.04,Italia,,,,,
3706,,Manzana Reineta,3.98,3.582,-,-,0.04,Nacional,,,,,
1568,,Manzana Royal Gala BIO,2.69,2.421,-,-,0.04,Italia,,,,,
3662,,Maracuyá morado local,8.59,7.731,7.3015,-,0.04,Granada,,,,,
